bc/batch,batch_size,bc/prob_true_act,bc/samples_so_far,bc/entropy,bc/l2_loss,bc/epoch,bc/l2_norm,bc/loss,bc/neglogp,bc/ent_loss
1693,2048,3.999336879476626,3469312,-0.5235239267349243,0.0,154,2479.0615234375,-1.3631947642141609,-1.3637182881655758,0.0005235239514149725
1704,2048,4.074264756554725,3491840,-0.544888973236084,0.0,155,2484.8935546875,-1.3677128617595171,-1.3682577507746627,0.0005448890151455998
1715,2048,4.036376263356052,3514368,-0.5655944347381592,0.0,156,2491.878173828125,-1.3649530443165359,-1.3655186387861986,0.0005655944696627557
1726,2048,3.900371146274858,3536896,-0.5862267017364502,0.0,157,2498.8896484375,-1.3123541538684795,-1.3129403806256297,0.0005862267571501434
1737,2048,4.30169087795687,3559424,-0.606830358505249,0.0,158,2505.37841796875,-1.4245890828036945,-1.4251959132101628,0.0006068304064683616
1748,2048,4.47914871300266,3581952,-0.628029465675354,0.0,159,2511.349365234375,-1.4726944872023742,-1.473322516722532,0.0006280295201577246
1759,2048,4.678042237898369,3604480,-0.6493033170700073,0.0,160,2516.689453125,-1.517569589498842,-1.5182188928713256,0.0006493033724837005
1770,2048,4.5718035753109625,3627008,-0.670626163482666,0.0,161,2522.104248046875,-1.4891997279541287,-1.4898703541315812,0.0006706261774525046
1781,2048,4.781592190144794,3649536,-0.6922051906585693,0.0,162,2527.2978515625,-1.5423546697274304,-1.543046874939975,0.0006922052125446498
1792,2048,4.368214361171995,3672064,-0.7141698598861694,0.0,163,2531.931884765625,-1.429589292861047,-1.4303034627344373,0.0007141698733903468
1803,2048,4.891827966409274,3694592,-0.7352650165557861,0.0,164,2537.352783203125,-1.5501984874274768,-1.550933752455674,0.0007352650281973183
1814,2048,4.850087580411144,3717120,-0.756325364112854,0.0,165,2542.8203125,-1.5337184146930882,-1.5344747400679113,0.0007563253748230636
1825,2048,4.796127818035771,3739648,-0.777112603187561,0.0,166,2549.33056640625,-1.5269387368276823,-1.5277158494387861,0.0007771126111038029
1836,2048,5.4273011642704025,3762176,-0.798029899597168,0.0,167,2555.114501953125,-1.6686600612952185,-1.6694580912367252,0.0007980299415066838
1847,2048,5.499548904176266,3784704,-0.8196903467178345,0.0,168,2559.89501953125,-1.682294373959862,-1.6831140643689784,0.000819690409116447
1858,2048,5.673163318642394,3807232,-0.8417843580245972,0.0,169,2563.797607421875,-1.7052485773629575,-1.7060903617703422,0.0008417844073846936
1869,2048,5.128444926102425,3829760,-0.8633955717086792,0.0,170,2568.39404296875,-1.5708668956407574,-1.5717302912720708,0.000863395631313324
1880,2048,1.8751951064978358,3852288,-0.8813861608505249,0.0,171,2577.2802734375,-0.05480708098066637,-0.05568846720298418,0.0008813862223178148
1891,2048,3.3936841437216865,3874816,-0.8863751888275146,0.0,172,2592.01708984375,-0.694596948820553,-0.6954833240796954,0.000886375259142369
1902,2048,4.480672506029114,3897344,-0.8880257606506348,0.0,173,2606.81298828125,-1.2928765498097023,-1.2937645756052776,0.0008880257955752313
1913,2048,5.072982599184218,3919872,-0.8959368467330933,0.0,174,2620.771240234375,-1.528790950535684,-1.5296868874508693,0.0008959369151853025
1924,2048,5.453675470847223,3942400,-0.9101269245147705,0.0,175,2630.99169921875,-1.634551243633195,-1.6354613705865808,0.0009101269533857703
1935,2048,5.8020511902102605,3964928,-0.9280567169189453,0.0,176,2637.9599609375,-1.7204778298932313,-1.7214058866688235,0.0009280567755922675
1946,2048,6.123478686190694,3987456,-0.9481171369552612,0.0,177,2643.24169921875,-1.7828161363398207,-1.783764253512632,0.0009481171728111804
1957,2048,6.351155203588908,4009984,-0.9694714546203613,0.0,178,2647.492431640625,-1.8230547161942545,-1.8240241877205867,0.0009694715263321996
1968,2048,6.522835014221054,4032512,-0.9915018081665039,0.0,179,2651.192138671875,-1.848513563074245,-1.8495050649196645,0.0009915018454194069
1979,2048,6.538805638241968,4055040,-1.013868808746338,0.0,180,2654.553466796875,-1.8418353401448282,-1.8428492089824455,0.0010138688376173377
1990,2048,6.793455803221139,4077568,-1.0358457565307617,0.0,181,2658.0546875,-1.8868838646237107,-1.8879197104621979,0.0010358458384871483
2001,2048,6.688355172101801,4100096,-1.0578821897506714,0.0,182,2661.88037109375,-1.8616561595949621,-1.8627140418061332,0.0010578822111710906
2012,2048,7.0748691900856215,4122624,-1.0796853303909302,0.0,183,2665.6337890625,-1.91863211199406,-1.9197117973980253,0.0010796854039654136
2023,2048,7.3432582656697605,4145152,-1.1018226146697998,0.0,184,2669.12255859375,-1.968425417093782,-1.9695272398025154,0.0011018227087333798
2034,2048,7.217033713924057,4167680,-1.124314308166504,0.0,185,2672.4921875,-1.9384941029092129,-1.9396184172909539,0.0011243143817409873
2045,2048,7.604307627249452,4190208,-1.1466385126113892,0.0,186,2675.990966796875,-1.9905348162482994,-1.9916814547814,0.0011466385331004858
2056,2048,7.198778256246256,4212736,-1.1690131425857544,0.0,187,2679.199462890625,-1.9353330340552461,-1.9365020472639558,0.0011690132087096572
2067,2048,6.9936384149014295,4235264,-1.1904219388961792,0.0,188,2683.289794921875,-1.8900817011479225,-1.8912721231343161,0.0011904219863936305
2078,2048,7.29393767111932,4257792,-1.2111566066741943,0.0,189,2688.25341796875,-1.9380012180829636,-1.9392123748023278,0.0012111567193642259
2089,2048,7.924910026465413,4280320,-1.2313649654388428,0.0,190,2693.706787109375,-2.0292467844568165,-2.030478149479066,0.0012313650222495198
2100,2048,8.279392339534713,4302848,-1.2520461082458496,0.0,191,2698.633056640625,-2.075981743364606,-2.077233789568778,0.0012520462041720748
2111,2048,8.594534990295848,4325376,-1.273561954498291,0.0,192,2702.9453125,-2.121181652839212,-2.122455214806749,0.001273561967536807
